OrderID,CustomerID,CourseID,OrderDate,OrderAmount
1075,C009,CRS03,2024-01-12,25000
1076,C092,CRS01,2024-12-16,15000
1077,C093,CRS08,2024-12-07,22000
1078,C086,CRS07,2024-09-24,35000
1079,C026,CRS09,2024-06-26,40000
1080,C066,CRS05,2024-03-20,17000
1081,C051,CRS10,2024-08-15,28000
1082,C086,CRS06,2024-10-16,30000
1083,C070,CRS02,2024-06-29,18000
1084,C062,CRS05,2024-08-02,17000
1085,C050,CRS07,2024-02-10,35000
1086,C080,CRS10,2024-05-02,28000
1087,C069,CRS01,2024-09-01,15000
1088,C055,CRS03,2024-09-16,25000
1089,C098,CRS07,2024-11-10,35000
1090,C037,CRS06,2024-08-08,30000
1091,C060,CRS07,2024-12-22,35000
1092,C045,CRS06,2024-04-19,30000
1093,C030,CRS09,2024-11-11,40000
1094,C037,CRS09,2024-06-21,40000
1095,C007,CRS01,2024-01-04,15000
1096,C008,CRS06,2024-06-02,30000
1097,C028,CRS02,2024-05-25,18000
1098,C040,CRS08,2024-04-16,22000
1099,C072,CRS02,2024-10-23,18000
1100,C029,CRS02,2024-05-01,18000
1101,C086,CRS10,2024-07-20,28000
1102,C079,CRS08,2024-01-03,22000
1103,C027,CRS08,2024-03-11,22000
1104,C076,CRS10,2024-12-11,28000
1105,C086,CRS05,2024-11-27,17000
1106,C029,CRS03,2024-09-11,25000
1107,C030,CRS04,2024-04-13,20000
1108,C038,CRS03,2024-09-02,25000
1109,C058,CRS05,2024-12-09,17000
1110,C081,CRS01,2024-07-06,15000
1111,C066,CRS08,2024-09-16,22000
1112,C057,CRS08,2024-04-06,22000
1113,C062,CRS03,2024-02-23,25000
1114,C058,CRS09,2024-06-07,40000
1115,C017,CRS08,2024-04-30,22000
1116,C065,CRS03,2024-01-19,25000
1117,C056,CRS02,2024-02-14,18000
1118,C086,CRS09,2024-11-14,40000
1119,C029,CRS09,2024-12-27,40000
1120,C056,CRS07,2024-06-16,35000
1121,C031,CRS04,2024-07-30,20000
1122,C018,CRS10,2024-01-06,28000
1123,C029,CRS10,2024-04-08,28000
1124,C087,CRS03,2024-02-06,25000
1125,C067,CRS06,2024-09-29,30000
1126,C018,CRS07,2024-06-27,35000
1127,C025,CRS09,2024-03-09,40000
1128,C051,CRS09,2024-12-20,40000
1129,C089,CRS02,2024-07-03,18000
1130,C001,CRS07,2024-05-28,35000
1131,C009,CRS02,2024-12-05,18000
1132,C055,CRS06,2024-05-22,30000
1133,C020,CRS05,2024-03-31,17000
1134,C019,CRS04,2024-07-28,20000
1135,C016,CRS03,2024-12-23,25000
1136,C020,CRS10,2024-05-16,28000
1137,C032,CRS08,2024-09-04,22000
1138,C049,CRS10,2024-04-28,28000
1139,C029,CRS06,2024-03-02,30000
1140,C057,CRS02,2024-02-29,18000
1141,C028,CRS03,2024-04-25,25000
1142,C044,CRS06,2024-12-16,30000
1143,C035,CRS05,2024-10-01,17000
1144,C033,CRS04,2024-08-21,20000
1145,C003,CRS01,2024-06-19,15000
1146,C096,CRS06,2024-09-21,30000
1147,C036,CRS03,2024-06-23,25000
1148,C031,CRS10,2024-01-25,28000
1149,C035,CRS01,2024-05-09,15000
1150,C073,CRS07,2024-10-24,35000
1151,C092,CRS03,2024-12-27,25000
1152,C016,CRS02,2024-02-22,18000
1153,C068,CRS02,2024-01-13,18000
1154,C041,CRS02,2024-08-18,18000
1155,C085,CRS08,2024-08-16,22000
1156,C099,CRS01,2024-09-16,15000
1157,C055,CRS04,2024-06-24,20000
1158,C069,CRS03,2024-12-03,25000
1159,C081,CRS06,2024-03-30,30000
1160,C063,CRS10,2024-12-20,28000
1161,C042,CRS01,2024-12-17,15000
1162,C037,CRS08,2024-07-01,22000
1163,C090,CRS09,2024-12-10,40000
1164,C067,CRS01,2024-03-31,15000
1165,C090,CRS04,2024-02-07,20000
1166,C097,CRS07,2024-10-24,35000
1167,C052,CRS01,2024-02-06,15000
1168,C002,CRS05,2024-05-09,17000
1169,C068,CRS10,2024-09-12,28000
1170,C023,CRS07,2024-10-03,35000
1171,C078,CRS03,2024-11-06,25000
1172,C083,CRS07,2024-12-21,35000
1173,C015,CRS05,2024-12-28,17000
1174,C072,CRS02,2024-07-31,18000
1175,C047,CRS06,2024-02-25,30000
1176,C090,CRS03,2024-05-03,25000
1177,C006,CRS03,2024-08-03,25000
1178,C053,CRS01,2024-11-24,15000
1179,C094,CRS03,2024-01-17,25000
1180,C072,CRS07,2024-02-12,35000
1181,C011,CRS07,2024-03-11,35000
1182,C069,CRS05,2024-03-02,17000
1183,C001,CRS10,2024-06-19,28000
1184,C010,CRS03,2024-10-22,25000
1185,C036,CRS08,2024-08-23,22000
1186,C035,CRS08,2024-09-20,22000
1187,C069,CRS04,2024-08-20,20000
1188,C054,CRS08,2024-07-02,22000
1189,C097,CRS06,2024-06-13,30000
1190,C055,CRS10,2024-11-09,28000
1191,C067,CRS01,2024-08-09,15000
1192,C025,CRS07,2024-01-31,35000
1193,C056,CRS02,2024-03-06,18000
1194,C092,CRS10,2024-12-04,28000
1195,C035,CRS08,2024-12-23,22000
1196,C032,CRS07,2024-03-29,35000
1197,C099,CRS06,2024-11-21,30000
1198,C019,CRS03,2024-11-10,25000
1199,C033,CRS04,2024-02-20,20000
1200,C060,CRS04,2024-02-18,20000
